City-State,Population,Population Density
DENBO-PA,126.0,406.0
DENDRON-VA,741.0,30.0
DENHAM SPRINGS-LA,71335.0,474.0
DENHOFF-ND,112.0,1.0
DENISON-IA,9838.0,57.0
DENISON-KS,442.0,25.0
DENISON-TX,29908.0,241.5
DENMARK-IA,290.0,453.0
DENMARK-ME,1148.0,25.0
DENMARK-SC,5868.0,90.0
DENMARK-TN,1174.0,19.0
DENMARK-WI,6061.0,59.0
DENNARD-AR,629.0,14.0
DENNEHOTSO-AZ,1199.0,4.0
DENNIS PORT-MA,2875.0,1039.0
DENNIS-KS,373.0,17.0
DENNIS-MA,3207.0,543.0
DENNIS-MS,1629.0,34.0
DENNISON-IL,724.0,31.0
DENNISON-MN,997.0,21.0
DENNISON-OH,4624.0,153.0
DENNISTON-KY,309.0,50.0
DENNYSVILLE-ME,703.0,8.0
DENT-MN,1673.0,26.0
DENTON-GA,727.0,14.0
DENTON-KS,304.0,8.0
DENTON-KY,425.0,21.0
DENTON-MD,9555.0,115.0
DENTON-MT,454.0,1.0
DENTON-NC,9079.0,60.0
DENTON-NE,1311.0,30.0
DENTON-TX,139552.0,2366.0
DENVER CITY-TX,6559.0,28.0
DENVER-CO,958706.0,5509.078947368421
DENVER-IA,3206.0,128.0
DENVER-IN,1708.0,49.0
DENVER-MO,178.0,3.0
DENVER-NC,18287.0,412.0
DENVER-NY,470.0,24.0
DENVER-PA,15391.0,440.0
DENVILLE-NJ,17722.0,1445.0
DEPAUW-IN,2622.0,46.0
DEPEW-NY,24742.0,2847.0
DEPEW-OK,1881.0,18.0
DEPOE BAY-OR,2325.0,318.0
DEPORT-TX,1185.0,18.0
DEPOSIT-NY,3310.0,42.0
DEPUE-IL,1647.0,417.0
DEPUTY-IN,2029.0,40.0
DEQUINCY-LA,7604.0,49.0
DERBY LINE-VT,1502.0,48.0
DERBY-CT,12914.0,2548.0
DERBY-IA,366.0,8.0
DERBY-IN,382.0,13.0
DERBY-KS,26577.0,473.0
DERBY-NY,6440.0,490.0
DERBY-VT,2003.0,79.0
DERIDDER-LA,25125.0,56.0
DERMOTT-AR,3794.0,16.0
DERRICK CITY-PA,211.0,49.0
DERRY-NH,33269.0,924.0
DERRY-PA,6544.0,230.0
DERWOOD-MD,14295.0,1090.0
DES ALLEMANDS-LA,4585.0,146.0
DES ARC-AR,2867.0,17.0
DES ARC-MO,608.0,16.0
DES LACS-ND,402.0,4.0
DES MOINES-IA,212318.0,2897.3636363636365
DES MOINES-NM,294.0,1.0
DES PLAINES-IL,89789.0,3729.5
DESCANSO-CA,1622.0,41.0
DESDEMONA-TX,407.0,6.0
DESERT CENTER-CA,223.0,2.0
DESERT HOT SPRINGS-CA,43525.0,506.5
DESHA-AR,583.0,147.0
DESHLER-NE,992.0,16.0
DESHLER-OH,2951.0,42.0
DESMET-ID,348.0,7.0
DESOTO-TX,48877.0,2228.0
DESTIN-FL,15565.0,1340.0
DESTREHAN-LA,13006.0,1209.0
DETROIT LAKES-MN,16290.0,87.0
DETROIT-AL,1044.0,18.0
DETROIT-ME,837.0,42.0
DETROIT-MI,673342.0,5079.88
DETROIT-OR,267.0,5.0
DETROIT-TX,1876.0,11.0
DEVENS-MA,1795.0,340.0
DEVERS-TX,934.0,6.0
DEVILLE-LA,7414.0,61.0
DEVILS ELBOW-MO,338.0,18.0
DEVILS LAKE-ND,9864.0,41.0
DEVILS TOWER-WY,95.0,2.0
DEVINE-TX,9630.0,61.0
DEVOL-OK,401.0,5.0
DEVON-PA,6895.0,1997.0
DEWAR-OK,918.0,251.0
DEWART-PA,257.0,1521.0
DEWEESE-NE,188.0,7.0
DEWEY-AZ,8858.0,44.0
DEWEY-IL,709.0,21.0
DEWEY-OK,5128.0,99.0
DEWEYVILLE-TX,603.0,59.0
DEWEYVILLE-UT,535.0,63.0
DEWITT-IL,420.0,13.0
DEWITT-MI,16641.0,253.0
DEWITT-VA,1858.0,39.0
DEWITTVILLE-NY,1031.0,38.0
DEWY ROSE-GA,2281.0,47.0
DEXTER CITY-OH,516.0,17.0
DEXTER-GA,2318.0,43.0
DEXTER-IA,1489.0,23.0
DEXTER-KS,602.0,3.0
DEXTER-KY,1167.0,44.0
DEXTER-ME,4295.0,80.0
DEXTER-MI,14420.0,232.0
DEXTER-MN,853.0,14.0
DEXTER-MO,13123.0,98.0
DEXTER-NM,5179.0,21.0
DEXTER-NY,3984.0,90.0
DEXTER-OR,2335.0,56.0
DIABLO-CA,964.0,411.0
DIAGONAL-IA,811.0,7.0
DIAMOND BAR-CA,46457.0,2456.0
DIAMOND CITY-AR,197.0,232.0
DIAMOND POINT-NY,894.0,59.0
DIAMOND SPRINGS-CA,4842.0,806.0
DIAMOND-MO,2813.0,55.0
DIAMOND-OH,2644.0,116.0
DIAMOND-OR,91.0,0.0
DIAMONDHEAD-MS,8383.0,785.0
DIAMONDVILLE-WY,728.0,469.0
DIANA-TX,4652.0,55.0
DIANA-WV,354.0,13.0
DIBERVILLE-MS,8522.0,1854.0
DIBOLL-TX,9105.0,107.0
DICKENS-IA,522.0,8.0
DICKENS-NE,117.0,1.0
DICKENS-TX,424.0,2.0
DICKERSON RUN-PA,314.0,885.0
DICKERSON-MD,1824.0,35.0
DICKEY-ND,132.0,2.0
DICKEYVILLE-WI,1049.0,1237.0
DICKINSON CENTER-NY,634.0,18.0
DICKINSON-AL,531.0,16.0
DICKINSON-ND,21078.0,37.0
DICKINSON-TX,38806.0,770.0
DICKSON-TN,27024.0,133.0
DIERKS-AR,2280.0,14.0
DIETERICH-IL,2092.0,24.0
DIETRICH-ID,788.0,9.0
DIGHTON-KS,1416.0,3.0
DIGHTON-MA,3123.0,273.0
DIKE-IA,1743.0,33.0
DIKE-TX,1078.0,18.0
DILL CITY-OK,762.0,18.0
DILLARD-GA,1249.0,62.0
DILLE-WV,187.0,25.0
DILLER-NE,530.0,7.0
DILLEY-TX,4787.0,13.0
DILLINER-PA,1527.0,77.0
DILLINGHAM-AK,2603.0,0.0
DILLON BEACH-CA,264.0,249.0
DILLON-CO,7278.0,70.0
DILLON-MT,7963.0,4.0
DILLON-SC,17722.0,136.0
DILLONVALE-OH,3136.0,88.0
DILLSBORO-IN,4275.0,60.0
DILLSBURG-PA,17721.0,281.0
DILLTOWN-PA,75.0,130.0
DILLWYN-VA,8212.0,38.0
DILWORTH-MN,4026.0,815.0
DIME BOX-TX,953.0,19.0
DIMMITT-TX,5223.0,17.0
DIMOCK-PA,128.0,110.0
DIMOCK-SD,459.0,6.0
DIMONDALE-MI,5836.0,275.0
DINGESS-WV,1286.0,41.0
DINGMANS FERRY-PA,7759.0,93.0
DINOSAUR-CO,446.0,1.0
DINUBA-CA,28262.0,424.0
DINWIDDIE-VA,3479.0,48.0
DISCOVERY BAY-CA,13403.0,824.0
DISNEY-OK,311.0,173.0
DISPUTANTA-VA,6906.0,53.0
DISTANT-PA,154.0,142.0
DISTRICT HEIGHTS-MD,40054.0,5247.0
DITTMER-MO,5831.0,83.0
DIVERNON-IL,1532.0,54.0
DIVIDE-CO,4023.0,41.0
DIVIDE-MT,221.0,1.0
DIX-IL,1392.0,49.0
DIX-NE,386.0,2.0
DIXFIELD-ME,3040.0,41.0
DIXIE-GA,902.0,21.0
DIXIE-WA,160.0,87.0
DIXIE-WV,678.0,63.0
DIXMONT-ME,1181.0,33.0
DIXON SPRINGS-TN,834.0,27.0
DIXON-CA,20553.0,85.0
DIXON-IA,633.0,22.0
DIXON-IL,23745.0,158.0
DIXON-KY,2586.0,30.0
DIXON-MO,8233.0,35.0
DIXON-MT,454.0,4.0
DIXON-NE,260.0,6.0
DIXON-NM,880.0,24.0
DIXON-WY,186.0,7.0
DIXONS MILLS-AL,1207.0,29.0
DIXONVILLE-PA,322.0,225.0
DOBBINS-CA,631.0,27.0
DOBBS FERRY-NY,10875.0,4477.0
DOBSON-NC,9597.0,89.0
DOCENA-AL,414.0,160.0
DODD CITY-TX,972.0,21.0
DODDRIDGE-AR,1491.0,10.0
DODDSVILLE-MS,440.0,7.0
DODGE CENTER-MN,4071.0,51.0
DODGE CITY-KS,30559.0,81.0
DODGE-ND,185.0,2.0
DODGE-NE,1179.0,11.0
DODGE-WI,240.0,38.0
DODGEVILLE-MI,360.0,888.0
DODGEVILLE-WI,7276.0,51.0
DODSON-LA,1542.0,11.0
DODSON-MT,663.0,1.0
DODSON-TX,158.0,2.0
DOE HILL-VA,99.0,7.0
DOE RUN-MO,1329.0,80.0
DOERUN-GA,3202.0,26.0
DOLA-OH,490.0,26.0
DOLAN SPRINGS-AZ,2224.0,4.0
DOLAND-SD,384.0,2.0
DOLGEVILLE-NY,3889.0,73.0
DOLLAR BAY-MI,1043.0,178.0
DOLLIVER-IA,242.0,6.0
DOLOMITE-AL,1465.0,742.0
DOLORES-CO,4409.0,6.0
DOLPHIN-VA,654.0,22.0
DOLTON-IL,22788.0,5425.0
DONAHUE-IA,967.0,37.0
DONALD-OR,791.0,5530.0
DONALDS-SC,2944.0,50.0
DONALDSON-AR,2098.0,28.0
DONALDSON-MN,57.0,3.0
DONALDSONVILLE-LA,10925.0,212.0
DONALSONVILLE-GA,7871.0,40.0
DONEGAL-PA,525.0,206.0
DONGOLA-IL,2263.0,28.0
DONIE-TX,666.0,10.0
DONIPHAN-MO,10158.0,21.0
DONIPHAN-NE,1974.0,18.0
DONNA-TX,39454.0,632.0
DONNELLSON-IA,2802.0,25.0
DONNELLSON-IL,490.0,18.0
DONNELLY-ID,1571.0,20.0
DONNELLY-MN,579.0,6.0
DONNELSVILLE-OH,293.0,749.0
DONNER-LA,205.0,55.0
DONNYBROOK-ND,241.0,1.0
DONORA-PA,4910.0,2203.0
DONOVAN-IL,615.0,13.0
DOON-IA,1079.0,19.0
DORA-AL,7944.0,177.0
DORA-MO,1135.0,12.0
DORA-NM,44.0,27.0
DORAN-VA,229.0,432.0
DORCHESTER CENTER-MA,47783.0,15913.0
DORCHESTER-IA,532.0,7.0
DORCHESTER-MA,82752.0,14016.333333333334
DORCHESTER-NE,1050.0,11.0
DORCHESTER-NJ,400.0,106.0
DORCHESTER-SC,2380.0,26.0
DORCHESTER-WI,2036.0,46.0
DORENA-OR,928.0,9.0
DORNSIFE-PA,1273.0,37.0
DOROTHY-NJ,1344.0,186.0
DOROTHY-WV,618.0,25.0
DORR-MI,9410.0,192.0
DORRANCE-KS,301.0,3.0
DORRIS-CA,1240.0,5.0
DORSET-OH,1557.0,39.0
DORSET-VT,1350.0,39.0
DORSEY-IL,936.0,47.0
DOS PALOS-CA,9591.0,55.0
DOS RIOS-CA,70.0,2.0
DOSS-TX,324.0,2.0
DOSWELL-VA,1952.0,41.0
DOTHAN-AL,80446.0,445.6666666666667
DOUBLE SPRINGS-AL,4680.0,33.0
DOUCETTE-TX,115.0,279.0
DOUDS-IA,688.0,12.0
DOUGHERTY-IA,256.0,5.0
DOUGHERTY-OK,222.0,109.0
DOUGLAS CITY-CA,1145.0,6.0
DOUGLAS-AK,2111.0,1222.0
DOUGLAS-AZ,18925.0,23.0
DOUGLAS-GA,28758.0,194.5
DOUGLAS-MA,8500.0,231.0
DOUGLAS-MI,884.0,473.0
DOUGLAS-ND,314.0,2.0
DOUGLAS-NE,441.0,11.0
DOUGLAS-OK,221.0,4.0
DOUGLAS-WY,9592.0,3.0
DOUGLASS-KS,3395.0,32.0
DOUGLASS-TX,1262.0,20.0
DOUGLASSVILLE-PA,14734.0,408.0
DOUGLASSVILLE-TX,1088.0,14.0
DOUGLASVILLE-GA,105268.0,806.5
DOUSMAN-WI,7202.0,192.0
DOVE CREEK-CO,1387.0,3.0
DOVER FOXCROFT-ME,4720.0,31.0
DOVER PLAINS-NY,5172.0,139.0
DOVER-AR,7845.0,34.0
DOVER-DE,69187.0,606.5
DOVER-FL,15203.0,489.0
DOVER-ID,190.0,435.0
DOVER-IL,111.0,630.0
DOVER-KY,1032.0,37.0
DOVER-MA,5589.0,370.0
DOVER-MN,1209.0,26.0
DOVER-MO,183.0,18.0
DOVER-NC,2489.0,29.0
DOVER-NH,30039.0,1082.0
DOVER-NJ,25386.0,2591.0
DOVER-OH,18588.0,339.0
DOVER-OK,1067.0,10.0
DOVER-PA,25756.0,412.0
DOVER-TN,7081.0,39.0
DOVRAY-MN,65.0,64.0
DOW CITY-IA,931.0,13.0
DOW-IL,1138.0,61.0
DOWAGIAC-MI,14805.0,124.0
DOWELL-IL,367.0,838.0
DOWELL-MD,535.0,1241.0
DOWELLTOWN-TN,1552.0,59.0
DOWLING-MI,1557.0,63.0
DOWNERS GROVE-IL,56587.0,3059.5
DOWNEY-CA,111772.0,8985.0
DOWNEY-ID,1213.0,4.0
DOWNIEVILLE-CA,352.0,3.0
DOWNING-MO,851.0,11.0
DOWNING-WI,856.0,26.0
DOWNINGTOWN-PA,46984.0,1105.0
DOWNS-IL,1808.0,49.0
DOWNS-KS,1161.0,8.0
DOWNSVILLE-LA,3992.0,34.0
DOWNSVILLE-NY,1228.0,21.0
DOWS-IA,1007.0,9.0
DOYLE-CA,2197.0,11.0
DOYLE-TN,1340.0,68.0
DOYLESBURG-PA,405.0,31.0
DOYLESTOWN-OH,8252.0,480.0
DOYLESTOWN-PA,48571.0,1061.5
DOYLESTOWN-WI,128.0,457.0
DOYLINE-LA,3632.0,75.0
DOZIER-AL,1746.0,14.0
DRACUT-MA,29422.0,1426.0
DRAGOON-AZ,392.0,3.0
DRAIN-OR,2349.0,24.0
DRAKE-CO,1010.0,17.0
DRAKE-ND,452.0,3.0
DRAKES BRANCH-VA,1970.0,27.0
DRAKESBORO-KY,2026.0,41.0
DRAKESVILLE-IA,830.0,14.0
DRAPER-SD,228.0,1.0
DRAPER-UT,39765.0,1579.0
DRAPER-VA,2013.0,58.0
DRASCO-AR,1987.0,18.0
DRAVOSBURG-PA,1792.0,1851.0
DRAYDEN-MD,348.0,61.0
DRAYTON-ND,1125.0,5.0
DRAYTON-SC,374.0,984.0
DRESDEN-KS,169.0,2.0
DRESDEN-ME,1672.0,55.0
DRESDEN-NY,325.0,927.0
DRESDEN-OH,4327.0,52.0
DRESDEN-TN,6283.0,57.0
DRESHER-PA,5395.0,1800.0
DRESSER-WI,2509.0,78.0
DREW-MS,2932.0,23.0
DREWRYVILLE-VA,788.0,17.0
DREWSEY-OR,176.0,0.0
DREXEL HILL-PA,30738.0,8488.0
DREXEL-MO,2193.0,29.0
DREXEL-NC,1520.0,1274.0
DRIFT-KY,599.0,120.0
DRIFTING-PA,299.0,16.0
DRIFTON-PA,389.0,197.0
DRIFTWOOD-PA,328.0,3.0
DRIFTWOOD-TX,3026.0,79.0
DRIGGS-ID,3392.0,25.0
DRIPPING SPRINGS-TX,14367.0,84.0
DRISCOLL-ND,297.0,1.0
DRISCOLL-TX,621.0,290.0
DRUMMOND ISLAND-MI,1058.0,8.0
DRUMMOND-MT,765.0,3.0
DRUMMOND-OK,684.0,19.0
DRUMMOND-WI,412.0,4.0
DRUMMONDS-TN,6146.0,93.0
DRUMORE-PA,1355.0,96.0
DRUMRIGHT-OK,3864.0,56.0
DRUMS-PA,9020.0,240.0
DRURY-MA,75.0,15.0
DRURY-MO,461.0,9.0
DRY BRANCH-GA,2541.0,24.0
DRY CREEK-LA,654.0,16.0
DRY CREEK-WV,230.0,72.0
DRY FORK-VA,4292.0,84.0
DRY PRONG-LA,4538.0,35.0
DRY RIDGE-KY,10785.0,101.0
DRY RUN-PA,534.0,41.0
DRYBRANCH-WV,756.0,75.0
DRYDEN-MI,5027.0,149.0
DRYDEN-NY,5015.0,151.0
DRYDEN-VA,2222.0,99.0
DRYDEN-WA,519.0,283.0
DRYFORK-WV,316.0,10.0
DRYTOWN-CA,154.0,38.0
DU BOIS-IL,573.0,14.0
DU BOIS-NE,269.0,6.0
DU BOIS-PA,19270.0,298.0
DU PONT-GA,419.0,5.0
DU QUOIN-IL,9208.0,95.0
DUANESBURG-NY,2310.0,128.0
DUARTE-CA,27465.0,2195.5
DUBACH-LA,4280.0,26.0
DUBBERLY-LA,1420.0,23.0
DUBLIN-CA,46016.0,3011.0
DUBLIN-GA,28549.0,119.0
DUBLIN-IN,761.0,1569.0
DUBLIN-NC,482.0,244.0
DUBLIN-NH,1590.0,57.0
DUBLIN-OH,68932.0,1980.0
DUBLIN-PA,2158.0,3702.0
DUBLIN-TX,9000.0,21.0
DUBLIN-VA,11304.0,96.0
DUBOIS-ID,860.0,2.0
DUBOIS-IN,1897.0,35.0
DUBOIS-WY,1879.0,1.0
DUBRE-KY,341.0,30.0
DUBUQUE-IA,71168.0,797.6666666666666
DUCHESNE-UT,3323.0,5.0
DUCK CREEK VILLAGE-UT,248.0,1.0
DUCK HILL-MS,2363.0,16.0
DUCK RIVER-TN,1208.0,20.0
DUCK-WV,1797.0,21.0
DUCKTOWN-TN,467.0,241.0
DUCKWATER-NV,158.0,1.0
DUCOR-CA,994.0,15.0
DUDLEY-GA,1424.0,33.0
DUDLEY-MA,11390.0,547.0
DUDLEY-MO,754.0,10.0
DUDLEY-NC,11830.0,250.0
DUDLEY-PA,302.0,88.0
DUE WEST-SC,1742.0,101.0
DUENWEG-MO,384.0,994.0
DUFF-TN,1456.0,29.0
DUFFIELD-VA,5723.0,34.0
DUFUR-OR,1089.0,4.0
DUGGER-IN,1691.0,100.0
DUGSPUR-VA,1039.0,20.0
DUGWAY-UT,896.0,3.0
DUKE CENTER-PA,761.0,55.0
DUKE-MO,105.0,6.0
DUKE-OK,600.0,4.0
DUKEDOM-TN,345.0,15.0
DULAC-LA,1402.0,66.0
DULCE-NM,3417.0,4.0
DULUTH-GA,103980.0,2288.5
DULUTH-MN,115916.0,2030.2
DULZURA-CA,992.0,27.0
DUMAS-AR,6579.0,36.0
DUMAS-MS,1058.0,29.0
DUMAS-TX,16177.0,54.0
DUMFRIES-VA,31637.0,2160.5
DUMONT-CO,565.0,46.0
DUMONT-IA,1004.0,16.0
DUMONT-MN,359.0,4.0
DUMONT-NJ,17433.0,8810.0
DUNBAR-NE,493.0,9.0
DUNBAR-PA,4744.0,97.0
DUNBAR-WI,1083.0,12.0
DUNBAR-WV,9962.0,1455.0
DUNBARTON-NH,2758.0,89.0
DUNCAN FALLS-OH,1171.0,306.0
DUNCAN-AZ,2588.0,6.0
DUNCAN-MS,466.0,7.0
DUNCAN-NE,345.0,840.0
DUNCAN-OK,28434.0,86.0
DUNCAN-SC,11331.0,511.0
DUNCANNON-PA,9047.0,157.0
DUNCANSVILLE-PA,11321.0,199.0
DUNCANVILLE-AL,3759.0,44.0
DUNCANVILLE-TX,38530.0,3466.5
DUNCOMBE-IA,873.0,12.0
DUNDALK-MD,55786.0,5089.0
DUNDAS-IL,649.0,16.0
DUNDAS-MN,1817.0,90.0
DUNDAS-VA,407.0,21.0
DUNDEE-FL,3515.0,600.0
DUNDEE-IA,491.0,17.0
DUNDEE-IL,15851.0,785.0
DUNDEE-KY,88.0,26.0
DUNDEE-MI,6764.0,135.0
DUNDEE-MS,1353.0,8.0
DUNDEE-NY,5648.0,71.0
DUNDEE-OH,5397.0,111.0
DUNDEE-OR,4139.0,348.0
DUNEDIN-FL,37240.0,3646.0
DUNELLEN-NJ,14296.0,2704.0
DUNFERMLINE-IL,262.0,1100.0
DUNGANNON-VA,1129.0,22.0
DUNKERTON-IA,1804.0,36.0
DUNKIRK-IN,3807.0,81.0
DUNKIRK-MD,6951.0,412.0
DUNKIRK-NY,15072.0,647.0
DUNKIRK-OH,1479.0,62.0
DUNLAP-CA,464.0,7.0
DUNLAP-IA,1671.0,13.0
DUNLAP-IL,9021.0,288.0
DUNLAP-TN,11174.0,55.0
DUNLEVY-PA,427.0,667.0
DUNLO-PA,241.0,847.0
DUNLOW-WV,1092.0,12.0
DUNMOR-KY,800.0,27.0
DUNMORE-WV,503.0,8.0
DUNN CENTER-ND,262.0,2.0
DUNN LORING-VA,2362.0,3707.0
DUNN-NC,24908.0,155.0
DUNNEGAN-MO,887.0,22.0
DUNNELL-MN,398.0,8.0
DUNNELLON-FL,34926.0,179.5
DUNNIGAN-CA,1491.0,29.0
DUNNING-NE,299.0,1.0
DUNNSVILLE-VA,1796.0,44.0
DUNNVILLE-KY,1524.0,31.0
DUNREITH-IN,203.0,1100.0
DUNSEITH-ND,3313.0,14.0
DUNSMUIR-CA,2310.0,25.0
DUNSTABLE-MA,3179.0,193.0
DUPO-IL,4954.0,627.0
DUPONT-CO,228.0,5577.0
DUPONT-IN,1167.0,41.0
DUPONT-WA,8267.0,1204.0
DUPREE-SD,1042.0,1.0
DUPUYER-MT,104.0,2.0
DUQUESNE-PA,5565.0,3061.0
DURAND-IL,2620.0,42.0
DURAND-MI,8944.0,165.0
DURAND-WI,4127.0,33.0
DURANGO-CO,36051.0,37.0
DURANGO-IA,1158.0,33.0
DURANT-IA,2106.0,97.0
DURANT-MS,3620.0,37.0
DURANT-OK,22365.0,127.0
DURBIN-WV,642.0,6.0
DURHAM-CA,3787.0,53.0
DURHAM-CT,7388.0,312.0
DURHAM-KS,300.0,4.0
DURHAM-ME,3848.0,101.0
DURHAM-MO,466.0,34.0
DURHAM-NC,256789.0,1692.625
DURHAM-NH,14638.0,654.0
DURHAM-NY,339.0,33.0
DURHAM-OK,187.0,2.0
DURHAMVILLE-NY,1582.0,72.0
DURKEE-OR,133.0,1.0
DURYEA-PA,4345.0,801.0
DUSHORE-PA,2426.0,18.0
DUSON-LA,11752.0,331.0
DUSTIN-OK,770.0,10.0
DUTCH FLAT-CA,382.0,114.0
DUTCH JOHN-UT,266.0,2.0
DUTCHTOWN-MO,66.0,13.0
DUTTON-AL,2570.0,77.0
DUTTON-MT,594.0,2.0
DUTTON-VA,598.0,145.0
DUVALL-WA,10725.0,141.0
DUXBURY-MA,15059.0,634.0
DWALE-KY,329.0,491.0
DWARF-KY,179.0,81.0
DWIGHT-IL,6102.0,61.0
DWIGHT-KS,485.0,7.0
DWIGHT-NE,491.0,9.0
DYER-AR,577.0,176.0
DYER-IN,20816.0,1536.0
DYER-NV,415.0,1.0
DYER-TN,4404.0,63.0
DYERSBURG-TN,27406.0,194.0
DYERSVILLE-IA,5526.0,91.0
DYESS-AR,756.0,18.0
DYKE-VA,926.0,43.0
DYSART-IA,2016.0,20.0
DYSART-PA,742.0,26.0
EADS-CO,962.0,1.0
EADS-TN,6883.0,119.0
EAGAN-TN,59.0,240.0
EAGAR-AZ,4893.0,166.0
EAGARVILLE-IL,91.0,293.0
EAGLE BAY-NY,189.0,2.0
EAGLE BEND-MN,1597.0,16.0
EAGLE BRIDGE-NY,1835.0,52.0
EAGLE BUTTE-SD,4230.0,3.0
EAGLE CREEK-OR,3722.0,151.0
EAGLE GROVE-IA,4130.0,41.0
EAGLE LAKE-FL,2756.0,963.0
EAGLE LAKE-ME,1112.0,5.0
EAGLE LAKE-MN,2759.0,139.0
EAGLE LAKE-TX,4816.0,25.0
EAGLE MOUNTAIN-UT,21410.0,694.0
EAGLE NEST-NM,467.0,5.0
EAGLE PASS-TX,53040.0,93.0
EAGLE POINT-OR,14459.0,47.0
EAGLE RIVER-AK,25771.0,120.0
EAGLE RIVER-WI,7509.0,33.0
EAGLE ROCK-MO,1250.0,26.0
EAGLE ROCK-VA,2182.0,12.0
EAGLE SPRINGS-NC,2100.0,39.0
EAGLE-AK,187.0,0.0
EAGLE-CO,8215.0,34.0
EAGLE-ID,22780.0,214.0
EAGLE-MI,2714.0,84.0
EAGLE-NE,2570.0,75.0
EAGLE-WI,5608.0,145.0
EAGLES MERE-PA,185.0,13.0
EAGLETOWN-OK,1087.0,7.0
EAGLEVILLE-CA,166.0,1.0
EAGLEVILLE-MO,882.0,11.0
EAGLEVILLE-TN,2230.0,58.0
EAKLY-OK,387.0,59.0
EARL PARK-IN,660.0,12.0
EARLE-AR,3184.0,22.0
EARLETON-FL,291.0,156.0
EARLEVILLE-MD,3467.0,80.0
EARLHAM-IA,2671.0,30.0
EARLIMART-CA,10194.0,105.0
EARLING-IA,854.0,16.0
EARLINGTON-KY,1460.0,555.0
EARLSBORO-OK,1924.0,32.0
EARLTON-NY,1445.0,75.0
EARLVILLE-IA,1608.0,27.0
EARLVILLE-IL,3580.0,27.0
EARLVILLE-NY,2460.0,50.0
EARLY BRANCH-SC,1533.0,21.0
EARLY-IA,885.0,15.0
EARLY-TX,5075.0,70.0
EARLYSVILLE-VA,4853.0,133.0
EARP-CA,1539.0,49.0
EARTH-TX,1425.0,12.0
EASLEY-SC,60135.0,472.0
EAST ALTON-IL,9775.0,1567.0
EAST AMHERST-NY,19533.0,1196.0
EAST ANDOVER-ME,190.0,18.0
EAST ANDOVER-NH,202.0,92.0
EAST ARLINGTON-VT,274.0,7.0
EAST AURORA-NY,17329.0,280.0
EAST BALDWIN-ME,608.0,38.0
EAST BANK-WV,1120.0,207.0
EAST BARRE-VT,574.0,37.0
EAST BEND-NC,7655.0,93.0
EAST BERKSHIRE-VT,79.0,259.0
EAST BERLIN-CT,1296.0,1414.0
EAST BERLIN-PA,8266.0,198.0
EAST BERNARD-TX,4539.0,32.0
EAST BERNE-NY,1632.0,63.0
EAST BERNSTADT-KY,5485.0,83.0
EAST BETHANY-NY,1344.0,54.0
EAST BLUE HILL-ME,107.0,47.0
EAST BOOTHBAY-ME,724.0,225.0
EAST BRADY-PA,1886.0,118.0
EAST BRANCH-NY,613.0,13.0
EAST BRIDGEWATER-MA,13794.0,802.0
EAST BROOKFIELD-MA,2183.0,222.0
EAST BRUNSWICK-NJ,46298.0,2254.0
EAST BURKE-VT,982.0,33.0
EAST BUTLER-PA,705.0,815.0
EAST CALAIS-VT,1123.0,48.0
EAST CANAAN-CT,647.0,81.0
EAST CANTON-OH,6050.0,164.0
EAST CARBON-UT,1302.0,229.0
EAST CARONDELET-IL,1966.0,121.0
EAST CHARLESTON-VT,273.0,19.0
EAST CHATHAM-NY,1507.0,44.0
EAST CHICAGO-IN,29698.0,2120.0
EAST CHINA-MI,7339.0,181.0
EAST CONCORD-NY,1405.0,43.0
EAST CORINTH-VT,471.0,44.0
EAST DENNIS-MA,532.0,261.0
EAST DIXFIELD-ME,79.0,140.0
EAST DORSET-VT,685.0,52.0
EAST DOVER-VT,407.0,31.0
EAST DUBLIN-GA,10012.0,57.0
EAST DUBUQUE-IL,4867.0,140.0
EAST DURHAM-NY,1097.0,86.0
EAST EARL-PA,6824.0,308.0
EAST ELMHURST-NY,78303.0,32034.5
EAST FAIRFIELD-VT,1134.0,28.0
EAST FALMOUTH-MA,19583.0,707.0
EAST FLAT ROCK-NC,3203.0,1343.0
EAST FREEDOM-PA,2873.0,153.0
EAST FREETOWN-MA,4745.0,268.0
EAST FULTONHAM-OH,499.0,319.0
EAST GALESBURG-IL,828.0,478.0
EAST GLACIER PARK-MT,463.0,2.0
EAST GRANBY-CT,5117.0,304.0
EAST GRAND FORKS-MN,10096.0,54.0
EAST GREENBUSH-NY,9050.0,450.0
EAST GREENVILLE-PA,5424.0,391.0
EAST GREENWICH-RI,18082.0,829.0
EAST HADDAM-CT,5097.0,133.0
EAST HAMPSTEAD-NH,2470.0,868.0
EAST HAMPTON-CT,12808.0,318.0
EAST HAMPTON-NY,15398.0,359.0
EAST HANOVER-NJ,11157.0,1414.0
EAST HARDWICK-VT,1068.0,37.0
EAST HARTFORD-CT,51263.0,2858.5
EAST HARTLAND-CT,1492.0,95.0
EAST HAVEN-CT,29861.0,2838.0
EAST HAVEN-VT,353.0,8.0
EAST HELENA-MT,7282.0,101.0
EAST HICKORY-PA,76.0,60.0
EAST ISLIP-NY,14712.0,1933.0
EAST JEWETT-NY,250.0,14.0
EAST JORDAN-MI,7145.0,55.0
EAST KINGSTON-NH,3150.0,177.0
EAST LANSING-MI,51302.0,2288.0
EAST LEROY-MI,2436.0,83.0
EAST LIBERTY-OH,1040.0,50.0
