DRG,Bay,Central,Flint,Karmanos,Lansing,Lapeer,Macomb,Northern,Oakland,Port Huron
82,"$45,729 ",,"$42,388 ",,,"$33,535 ","$33,522 ","$24,127 ","$47,050 ","$1,458 "
83,"$18,387 ",,"$67,080 ",,,"$28,933 ","$29,170 ","$30,434 ","$33,331 ",
84,"$3,301 ",,"$17,491 ",,,"$21,115 ","$17,739 ","$14,044 ","$22,879 ","$6,172 "
85,"$46,099 ",,"$46,954 ",,"$25,520 ","$47,192 ","$36,081 ","$35,554 ","$57,432 ",
86,"$31,185 ",,"$29,553 ",,"$21,824 ","$34,578 ","$24,559 ","$20,916 ","$27,698 ",
87,"$18,571 ",,"$22,846 ",,"$18,904 ","$28,474 ","$15,300 ","$11,499 ","$19,738 ",
88,"$23,922 ",,"$8,490 ",,,"$51,123 ","$33,607 ","$20,370 ","$33,024 ","$30,401 "
89,"$11,657 ",,"$25,054 ",,"$22,092 ",,"$23,703 ","$12,711 ","$24,622 ",
90,"$10,646 ",,"$15,840 ",,"$25,336 ","$18,489 ","$14,854 ","$18,474 ","$23,404 ",
91,"$20,839 ","$16,852 ","$36,086 ","$17,739 ","$28,108 ","$53,044 ","$31,851 ","$28,298 ","$35,446 ","$22,151 "
92,"$21,668 ","$13,033 ","$26,397 ","$37,705 ","$20,167 ","$14,130 ","$18,253 ","$19,382 ","$18,169 ","$14,892 "
93,"$12,709 ",,"$19,370 ",,"$20,641 ","$13,961 ","$15,382 ","$19,364 ","$18,309 ","$12,564 "
94,"$37,712 ","$21,975 ","$174,468 ","$145,448 ","$120,374 ","$57,432 ","$21,262 ","$63,953 ",,"$91,945 "
95,"$26,364 ","$31,901 ","$26,904 ",,"$62,746 ",,,"$45,637 ","$10,931 ","$40,194 "
96,"$13,794 ",,"$17,891 ",,,,,"$19,361 ",,"$23,359 "
97,"$35,618 ",,"$28,189 ","$33,378 ",,,"$26,310 ","$58,711 ","$13,426 ","$3,683 "
98,"$9,591 ",,"$37,056 ",,,,"$66,913 ","$31,480 ",,
99,,,"$20,286 ",,,,"$17,468 ","$12,634 ",,"$29,047 "
100,"$25,469 ","$14,320 ","$20,439 ","$17,078 ","$27,342 ","$30,651 ","$24,226 ","$20,884 ","$25,733 ","$25,957 "
101,"$15,609 ","$11,836 ","$15,929 ","$21,233 ","$16,709 ","$16,455 ","$14,773 ","$16,285 ","$13,439 ","$13,532 "
102,"$13,323 ","$16,787 ","$9,546 ",,"$26,930 ","$26,305 ","$25,465 ",,"$19,689 ","$16,413 "
103,"$13,777 ","$15,836 ","$16,700 ","$18,215 ","$26,775 ","$20,324 ","$17,768 ","$19,164 ","$14,583 ","$11,595 "
113,,,,,,,"$42,089 ",,,
114,,,,,,,"$16,990 ",,,
115,,,,,,,,,"$53,182 ",
121,"$11,492 ",,"$8,725 ","$21,576 ","$15,054 ",,"$8,070 ","$7,707 ",,"$10,723 "
122,,,,,,,,,"$11,020 ",
123,"$20,521 ","$12,221 ","$29,821 ","$15,872 ",,,,"$8,298 ","$15,564 ","$12,186 "
124,,,"$9,595 ","$7,143 ","$10,975 ",,,"$16,051 ","$54,227 ",
125,"$10,776 ",,"$11,865 ","$11,999 ",,"$10,770 ","$11,119 ","$16,955 ","$13,722 ","$15,030 "
129,,,"$58,772 ","$57,157 ",,,,,,
130,,,,"$51,268 ",,,,,,
131,,,"$28,114 ","$14,373 ",,"$60,788 ","$58,241 ",,"$54,020 ",
132,,,"$53,290 ","$32,247 ",,,"$44,501 ",,"$52,878 ",
133,"$23,871 ",,"$37,046 ","$113,632 ",,,"$16,614 ","$28,134 ","$32,374 ","$24,469 "
134,"$4,265 ",,"$20,261 ",,"$26,338 ","$38,117 ","$14,011 ","$16,298 ",,"$19,796 "
135,,,,,,,,,,"$20,374 "
136,"$26,864 ",,,"$20,599 ",,,,,,"$27,020 "
137,,"$16,501 ","$22,919 ",,,"$11,429 ","$15,326 ",,,"$27,424 "
138,"$11,466 ",,"$14,539 ","$22,573 ",,,"$11,371 ",,,
139,,,,"$22,581 ",,,"$38,686 ","$11,989 ",,
146,,,,,"$53,186 ",,"$47,663 ",,"$24,651 ","$59,164 "
147,"$31,247 ",,"$38,633 ","$9,555 ",,"$19,206 ","$16,871 ",,"$16,678 ","$36,521 "
148,"$10,027 ",,,"$19,334 ","$22,217 ",,"$22,723 ",,,"$3,324 "
149,"$18,583 ",,"$14,759 ",,"$24,431 ","$21,530 ","$13,874 ","$13,812 ","$18,201 ","$12,973 "
150,"$53,396 ",,"$18,270 ",,,"$54,170 ","$22,968 ","$14,049 ",,"$5,096 "
151,"$11,185 ",,"$11,588 ","$13,186 ","$13,655 ","$15,546 ","$9,978 ","$5,554 ","$12,106 ",
152,"$11,161 ",,"$27,119 ","$8,809 ","$11,269 ",,"$10,618 ","$8,446 ",,"$10,242 "
153,"$10,872 ","$12,637 ","$9,484 ","$8,865 ","$13,081 ","$46,845 ","$12,372 ","$8,736 ","$9,102 ","$9,735 "
154,"$24,424 ",,"$20,606 ","$7,842 ","$38,980 ",,"$26,690 ","$13,922 ","$9,671 ","$20,655 "
155,"$22,119 ","$7,266 ","$14,833 ","$19,900 ",,"$22,074 ","$13,056 ","$12,560 ","$17,657 ","$15,385 "
156,"$12,750 ","$11,318 ","$12,477 ","$6,444 ",,,"$9,530 ","$13,165 ",,"$11,963 "
157,"$20,385 ",,"$17,072 ","$76,377 ","$12,769 ",,"$3,082 ","$26,918 ","$32,785 ","$32,283 "
158,"$17,828 ",,"$12,835 ","$13,689 ","$14,977 ","$14,080 ","$14,439 ","$13,377 ","$9,907 ","$13,951 "
159,"$10,514 ",,"$11,117 ","$12,466 ","$23,038 ",,"$7,452 ",,,"$11,720 "
163,"$79,977 ",,"$104,083 ","$118,085 ","$72,126 ","$48,859 ","$99,869 ","$49,097 ","$75,493 ","$52,206 "
