DRG,Bay,Central,Flint,Karmanos,Lansing,Lapeer,Macomb,Northern,Oakland,Port Huron
315,"$19,567 ","$14,844 ","$28,079 ","$18,813 ","$22,496 ","$34,255 ","$17,955 ","$15,531 ","$13,282 ","$16,397 "
316,"$10,099 ","$13,426 ","$14,338 ","$45,787 ","$14,546 ",,"$13,827 ","$11,648 ",,"$9,214 "
326,"$83,662 ","$77,868 ","$105,161 ","$71,360 ","$117,093 ","$95,972 ","$98,583 ","$75,493 ","$39,327 ","$60,190 "
327,"$42,590 ","$55,683 ","$64,712 ","$49,740 ","$41,030 ","$44,300 ","$49,758 ","$31,392 ","$56,962 ","$35,996 "
328,"$29,639 ","$34,533 ","$40,209 ","$24,349 ","$49,728 ","$57,169 ","$31,731 ","$28,400 ","$30,206 ","$22,804 "
329,"$111,649 ","$79,235 ","$111,949 ","$73,596 ","$64,534 ","$72,258 ","$93,877 ","$76,027 ","$84,372 ","$69,472 "
330,"$51,874 ","$37,389 ","$55,811 ","$37,835 ","$48,393 ","$48,297 ","$51,641 ","$44,318 ","$40,815 ","$44,498 "
331,"$36,472 ","$36,205 ","$38,919 ","$34,417 ","$32,561 ","$24,064 ","$38,341 ","$25,110 ","$25,707 ","$38,577 "
332,"$139,472 ",,,,,,,,,
333,,,"$40,326 ","$34,610 ",,,,,,
334,,,"$27,355 ",,,,,,,
335,"$75,016 ",,"$132,365 ","$84,270 ","$43,079 ","$53,630 ","$44,444 ","$58,622 ","$63,174 ","$39,866 "
336,"$42,067 ",,"$46,772 ","$33,973 ","$64,712 ","$33,447 ","$44,253 ","$30,438 ","$40,023 ","$41,034 "
337,"$42,409 ","$37,853 ","$51,880 ","$22,867 ","$29,767 ","$29,507 ","$40,428 ","$34,284 ","$23,709 ","$25,160 "
338,,,"$32,229 ",,,,,"$29,500 ","$31,668 ","$33,790 "
339,"$28,090 ","$33,225 ","$31,490 ",,,"$24,271 ","$34,835 ","$28,965 ","$41,635 ","$32,107 "
340,"$27,499 ","$35,167 ","$27,407 ",,"$35,037 ","$25,002 ","$28,839 ","$22,053 ",,"$23,803 "
341,"$26,513 ",,,,,"$35,597 ",,,"$21,659 ","$35,766 "
342,"$28,106 ","$24,960 ","$40,643 ",,,"$29,611 ","$25,862 ","$33,154 ","$22,014 ","$23,302 "
343,"$22,155 ","$33,547 ","$22,075 ","$11,736 ","$24,034 ","$17,187 ","$24,396 ","$18,321 ","$19,930 ","$18,724 "
344,,"$20,328 ","$41,867 ",,"$21,560 ",,"$40,330 ","$17,598 ","$39,845 ","$45,164 "
345,"$29,387 ",,"$33,478 ","$27,394 ",,"$38,697 ","$39,077 ","$18,785 ",,"$27,558 "
346,"$28,281 ",,"$28,830 ",,,,"$32,899 ","$19,552 ","$14,977 ",
347,,,"$71,005 ",,"$27,169 ","$36,829 ","$32,540 ",,"$44,506 ",
348,"$31,264 ",,"$33,091 ",,"$34,426 ",,"$18,896 ","$10,084 ","$18,079 ","$20,406 "
349,"$11,210 ",,"$16,435 ","$9,759 ",,"$19,793 ",,"$11,954 ","$10,752 ",
350,,,"$63,727 ",,,"$36,243 ","$38,253 ",,,"$35,238 "
351,"$44,678 ","$29,811 ","$24,349 ",,"$21,416 ","$40,300 ","$34,806 ","$16,784 ",,"$18,117 "
352,,"$20,911 ","$19,739 ",,"$27,465 ",,"$24,886 ",,"$17,313 ","$22,866 "
353,"$34,998 ","$71,005 ","$73,385 ","$34,419 ",,"$40,906 ","$55,708 ","$26,976 ",,"$24,498 "
354,"$41,097 ","$16,468 ","$34,475 ",,"$27,039 ","$33,377 ","$33,150 ","$21,300 ","$25,402 ","$26,720 "
355,"$16,890 ","$20,446 ","$24,991 ",,"$33,082 ","$29,424 ","$30,512 ","$19,345 ","$22,056 ","$23,670 "
356,"$36,589 ","$53,894 ","$92,037 ","$106,953 ","$26,878 ","$98,018 ","$62,393 ","$53,268 ","$62,909 ","$31,670 "
357,"$29,890 ","$18,451 ","$50,298 ","$26,867 ","$35,093 ","$50,404 ","$40,390 ","$41,401 ",,"$29,182 "
358,,"$18,441 ",,"$36,089 ","$31,380 ","$23,185 ","$33,570 ","$27,538 ",,
364,,,,,,,,"$15,913 ",,
368,"$81,453 ",,"$41,192 ","$17,978 ","$22,934 ",,"$29,400 ","$18,473 ",,"$11,311 "
369,"$24,899 ","$14,350 ","$16,531 ","$15,416 ","$21,710 ","$33,655 ","$26,069 ","$12,631 ","$19,571 ","$15,876 "
370,,,"$17,963 ",,,"$16,533 ",,"$16,214 ",,"$16,948 "
371,"$30,075 ","$14,204 ","$37,660 ","$37,831 ","$26,868 ","$34,396 ","$30,960 ","$27,387 ","$25,639 ","$24,397 "
372,"$19,236 ","$21,925 ","$19,896 ","$39,574 ","$28,196 ","$20,599 ","$19,246 ","$21,063 ","$15,953 ","$16,983 "
373,"$12,277 ","$5,827 ","$13,642 ",,"$16,082 ","$15,976 ","$11,041 ","$13,750 ",,"$13,935 "
374,"$36,862 ",,"$57,547 ","$44,343 ","$48,520 ","$22,999 ","$33,870 ","$24,809 ","$21,695 ","$29,193 "
375,"$23,264 ","$15,735 ","$28,906 ","$24,702 ","$28,031 ","$17,365 ","$27,757 ","$18,847 ","$22,294 ","$18,151 "
376,"$34,275 ",,"$10,428 ","$25,976 ",,,"$26,740 ",,,"$18,515 "
377,"$37,862 ","$19,534 ","$38,883 ","$29,822 ","$43,241 ","$37,867 ","$32,228 ","$25,151 ","$35,817 ","$25,386 "
378,"$22,725 ","$17,055 ","$24,156 ","$16,450 ","$22,275 ","$25,032 ","$17,175 ","$15,338 ","$21,209 ","$16,079 "
379,"$14,610 ","$10,731 ","$11,993 ",,"$14,560 ","$19,946 ","$9,635 ","$9,825 ","$6,634 ","$11,542 "
380,"$42,786 ","$9,620 ","$42,270 ","$138,373 ","$33,576 ","$46,627 ","$36,744 ","$12,088 ",,"$48,068 "
381,"$23,033 ","$18,160 ","$21,832 ",,"$24,053 ","$32,407 ","$17,214 ","$14,189 ","$16,870 ","$14,553 "
382,"$19,405 ","$7,595 ","$18,151 ",,"$17,702 ","$10,429 ","$16,154 ","$5,413 ","$10,068 ","$10,073 "
383,"$48,810 ","$18,568 ","$25,983 ",,,,"$17,447 ",,"$11,707 ","$41,075 "
384,"$21,289 ","$11,249 ","$15,177 ","$7,479 ","$17,066 ","$16,002 ","$17,580 ","$10,191 ","$11,351 ","$15,566 "
385,"$20,939 ","$22,865 ","$23,843 ","$25,653 ","$42,915 ","$21,839 ","$36,432 ","$9,675 ","$29,913 ","$21,631 "
386,"$18,334 ","$16,821 ","$17,644 ",,"$19,747 ","$14,370 ","$18,216 ","$15,878 ","$13,716 ","$12,320 "
387,"$14,983 ","$16,235 ","$15,845 ",,"$10,409 ","$19,895 ","$12,734 ","$14,026 ","$6,673 ","$15,800 "
388,"$31,047 ","$14,265 ","$27,093 ","$30,260 ","$28,405 ","$31,552 ","$17,008 ","$19,706 ","$21,107 ","$23,310 "
389,"$15,401 ","$14,873 ","$13,836 ","$20,294 ","$23,618 ","$14,675 ","$11,423 ","$15,207 ","$15,336 ","$14,428 "
390,"$14,154 ","$8,345 ","$13,795 ","$9,172 ","$15,152 ","$10,504 ","$7,454 ","$12,213 ","$16,400 ","$12,107 "
391,"$25,506 ","$16,045 ","$24,792 ","$24,365 ","$31,026 ","$25,881 ","$22,410 ","$20,762 ","$21,136 ","$18,545 "
392,"$15,439 ","$13,191 ","$16,224 ","$14,938 ","$18,798 ","$14,628 ","$12,265 ","$13,637 ","$12,451 ","$14,057 "
393,"$26,978 ","$30,821 ","$28,656 ","$22,267 ","$35,623 ","$33,376 ","$29,605 ","$25,897 ","$23,243 ","$21,334 "
394,"$18,892 ","$4,958 ","$20,211 ","$15,325 ","$19,197 ","$20,660 ","$15,377 ","$15,340 ","$17,334 ","$15,861 "
395,"$17,335 ","$12,067 ","$13,140 ","$1,754 ","$22,172 ","$14,361 ","$11,302 ","$17,548 ","$12,492 ","$14,692 "
405,,,"$141,481 ","$100,926 ","$35,154 ",,,,"$57,298 ",
406,"$48,427 ",,"$84,784 ","$53,234 ",,,,"$26,796 ",,
407,,,"$64,060 ",,,,,,,
408,,,"$107,955 ",,,,,,,
409,,,"$88,189 ",,,"$39,192 ",,,,
410,"$31,900 ",,,"$57,695 ",,,,"$28,803 ",,
411,,,"$85,005 ",,,,,"$42,906 ",,
412,,,"$35,681 ",,,,,,,
413,,,"$33,451 ",,"$32,315 ",,,"$36,401 ",,
414,,,,"$16,130 ","$65,818 ","$145,615 ","$68,874 ","$28,937 ","$40,655 ","$51,241 "
415,,,"$51,861 ","$28,260 ","$50,972 ","$50,405 ","$44,868 ","$21,919 ","$36,100 ","$32,812 "
416,"$36,264 ",,"$20,388 ","$28,016 ","$21,302 ","$37,681 ","$34,843 ","$31,891 ","$24,594 ","$23,967 "
417,"$46,601 ","$34,392 ","$43,692 ",,"$42,370 ","$69,268 ","$56,374 ","$33,693 ","$33,502 ","$37,161 "
418,"$39,698 ","$31,871 ","$33,560 ","$30,041 ","$32,477 ","$36,102 ","$38,685 ","$23,152 ","$33,341 ","$27,095 "
419,"$28,903 ","$23,461 ","$29,933 ",,"$24,995 ","$32,554 ","$37,258 ","$19,209 ","$22,925 ","$21,809 "
420,"$64,241 ",,"$76,893 ",,,,"$63,295 ","$143,518 ",,"$55,957 "
421,,,"$79,417 ","$30,980 ","$19,833 ",,"$56,212 ","$36,717 ","$19,216 ","$36,048 "
422,,,"$37,277 ","$19,276 ",,,,,,
423,,,"$48,324 ",,"$80,451 ",,,,"$101,755 ",
424,,,"$46,165 ",,,,,,,
425,,,"$19,990 ","$20,642 ",,,,,,
432,"$31,343 ","$38,228 ","$38,898 ","$11,045 ","$49,058 ","$42,741 ","$32,529 ","$24,752 ","$23,801 ","$23,551 "
433,"$15,869 ","$12,692 ","$20,222 ",,"$23,990 ","$17,772 ","$13,497 ","$15,902 ","$16,618 ","$14,943 "
434,"$26,114 ",,"$15,396 ",,"$15,887 ",,"$8,212 ","$6,805 ","$16,078 ",
435,"$30,415 ","$27,016 ","$38,876 ","$17,875 ","$38,480 ","$25,540 ","$39,390 ","$18,458 ","$27,026 ","$22,185 "
436,"$18,569 ","$19,038 ","$23,405 ","$22,621 ","$24,053 ","$14,174 ","$13,415 ","$17,598 ","$11,610 ","$16,419 "
437,"$13,662 ",,,"$26,692 ",,"$1,863 ","$15,966 ",,,"$19,627 "
438,"$29,606 ","$25,550 ","$25,458 ","$19,995 ","$31,785 ","$30,287 ","$30,727 ","$26,927 ","$24,832 ","$33,455 "
439,"$18,906 ","$14,111 ","$18,079 ","$8,194 ","$20,228 ","$22,332 ","$14,015 ","$14,832 ","$15,668 ","$13,737 "
440,"$15,227 ","$12,207 ","$12,510 ",,"$15,292 ","$14,076 ","$11,220 ","$12,408 ","$12,309 ","$12,375 "
441,"$31,324 ","$24,706 ","$33,866 ","$28,755 ","$29,806 ","$45,600 ","$22,440 ","$25,515 ","$34,838 ","$17,368 "
442,"$17,380 ","$8,665 ","$19,455 ","$18,734 ","$18,980 ","$23,566 ","$12,845 ","$16,078 ","$12,359 ","$15,048 "
443,"$12,515 ",,"$12,250 ",,"$18,555 ","$13,979 ","$9,853 ","$10,008 ","$13,770 ","$10,442 "
444,"$32,376 ","$25,068 ","$41,906 ","$30,866 ","$22,243 ","$41,749 ","$31,035 ","$22,770 ","$27,088 ","$27,893 "
445,"$22,845 ","$17,375 ","$27,763 ","$24,553 ","$33,029 ","$24,482 ","$19,979 ","$17,043 ","$16,311 ","$16,709 "
446,"$17,748 ","$14,307 ","$28,228 ",,"$26,458 ","$14,433 ","$16,044 ","$12,143 ","$13,111 ","$13,839 "
453,"$151,005 ",,"$266,901 ","$115,824 ",,"$119,908 ","$169,391 ","$80,490 ",,
454,"$112,320 ",,"$106,474 ",,"$127,092 ",,"$92,459 ","$74,827 ",,"$102,112 "
455,"$93,852 ",,"$92,510 ",,"$64,965 ",,"$83,520 ","$61,491 ","$48,626 ","$90,249 "
456,,,"$145,163 ",,,,,"$58,063 ",,
457,"$133,423 ",,,"$127,532 ","$89,064 ",,"$106,118 ",,,
458,"$51,119 ",,,,"$117,455 ",,"$149,219 ",,,"$100,151 "
459,"$55,716 ",,"$134,807 ",,,"$94,647 ","$129,931 ","$82,247 ","$158,492 ",
460,"$52,280 ",,"$88,978 ",,"$52,882 ","$49,349 ","$88,211 ","$62,335 ","$41,303 ","$89,387 "
462,,"$50,035 ",,,"$49,185 ","$93,277 ","$57,709 ",,"$58,775 ","$60,256 "
463,"$120,695 ","$63,185 ","$89,640 ",,"$74,130 ","$88,716 ","$57,290 ","$92,040 ","$75,403 ","$65,409 "
464,"$37,821 ","$78,268 ","$62,863 ","$78,911 ","$48,650 ","$71,042 ","$50,815 ","$41,710 ","$25,605 ","$38,635 "
465,"$25,336 ",,"$44,980 ",,"$31,069 ","$42,474 ","$41,314 ","$23,707 ",,"$27,942 "
466,"$94,930 ",,"$102,699 ",,"$54,398 ","$67,477 ","$89,013 ","$56,953 ",,
467,"$64,551 ","$39,444 ","$88,658 ",,"$42,722 ","$89,293 ","$74,652 ","$53,422 ","$47,491 ","$65,650 "
468,"$44,163 ",,"$61,100 ",,"$41,182 ","$99,533 ","$62,081 ","$39,574 ","$46,143 ","$74,995 "
469,"$68,253 ","$39,460 ","$82,491 ",,"$57,713 ","$57,768 ","$57,632 ","$39,106 ","$52,522 ","$46,638 "
470,"$44,587 ","$32,956 ","$59,879 ",,"$29,050 ","$43,530 ","$40,101 ","$30,817 ","$33,867 ","$34,843 "
471,"$61,468 ",,"$77,647 ",,,,"$102,938 ","$61,400 ","$49,436 ",
472,"$61,250 ",,"$47,435 ","$54,803 ","$43,334 ","$26,552 ","$70,714 ","$45,618 ","$62,183 ","$34,493 "
473,"$44,883 ",,"$48,693 ",,"$59,206 ","$40,334 ","$52,838 ","$32,771 ","$36,905 ","$33,091 "
474,"$24,957 ",,"$80,659 ",,"$61,386 ","$58,843 ","$107,337 ","$27,344 ","$34,838 ",
475,"$32,586 ",,"$35,838 ",,"$21,657 ","$46,891 ","$39,306 ","$44,810 ","$28,662 ",
476,"$18,502 ",,"$90,337 ",,"$21,306 ",,"$55,671 ","$24,281 ",,
477,"$74,507 ",,,"$44,471 ","$67,974 ",,"$77,187 ","$76,388 ",,"$70,228 "
478,"$54,184 ","$33,420 ","$52,034 ","$46,132 ","$49,598 ","$37,000 ","$57,460 ","$32,474 ",,"$36,867 "
479,"$45,221 ",,"$45,981 ","$66,211 ",,,"$35,265 ","$28,213 ",,
480,"$47,603 ","$37,270 ","$61,584 ",,"$58,504 ","$55,344 ","$60,448 ","$52,106 ","$40,191 ","$44,450 "
481,"$38,879 ","$32,228 ","$45,907 ",,"$41,011 ","$43,350 ","$49,438 ","$32,393 ","$39,599 ","$32,654 "
482,"$30,931 ","$26,506 ","$38,215 ",,"$29,365 ","$34,351 ","$40,520 ","$22,965 ","$40,048 ","$27,605 "
483,"$41,233 ","$34,065 ","$58,029 ",,"$41,258 ","$55,811 ","$48,038 ","$35,519 ","$36,750 ","$41,429 "
485,"$47,893 ","$48,391 ","$55,828 ",,"$49,208 ","$43,572 ","$50,537 ",,"$51,686 ","$34,809 "
486,"$30,568 ","$33,618 ","$53,759 ",,"$33,624 ","$38,137 ","$40,963 ","$45,669 ","$56,323 ",
487,,,,,"$13,411 ",,,"$18,625 ",,
488,"$42,731 ",,"$30,218 ",,"$28,486 ",,"$50,519 ","$97,641 ","$48,515 ","$20,889 "
489,"$25,451 ",,"$36,234 ",,"$21,816 ","$20,966 ","$22,183 ","$16,855 ",,"$17,933 "
492,"$59,134 ","$43,789 ","$55,581 ",,"$41,369 ","$46,461 ","$67,833 ","$37,565 ","$47,761 ","$34,486 "
493,"$39,953 ","$47,157 ","$45,721 ","$30,326 ","$43,022 ","$41,534 ","$57,672 ","$30,718 ","$46,854 ","$35,144 "
494,"$32,299 ","$26,470 ","$40,386 ",,"$26,310 ","$34,471 ","$48,515 ","$27,421 ","$41,004 ","$28,386 "
495,,,,,"$54,079 ",,,,,
496,"$23,905 ",,"$41,717 ",,"$34,969 ","$37,322 ","$21,300 ","$33,616 ","$42,469 ",
497,,,"$24,417 ",,,,,"$18,453 ",,
498,"$86,832 ",,,,,"$65,028 ",,,,
500,"$47,447 ","$23,853 ","$102,656 ",,"$81,149 ",,"$37,265 ","$85,822 ","$59,865 ",
501,"$32,431 ","$35,422 ","$37,124 ","$77,751 ","$29,051 ","$18,827 ","$31,748 ","$25,037 ","$24,433 ","$28,232 "
502,"$21,747 ","$30,919 ","$31,718 ","$19,771 ","$28,622 ",,"$28,587 ","$14,524 ","$25,281 ","$20,371 "
503,,,"$70,948 ",,,"$70,765 ","$108,308 ",,,
504,"$39,131 ",,"$32,256 ",,"$50,326 ",,"$49,160 ","$25,729 ",,"$20,436 "
505,"$18,610 ",,,,"$22,427 ",,"$38,792 ",,,"$24,053 "
506,,,"$5,618 ",,"$7,046 ",,,,,
507,"$40,483 ",,,,"$49,005 ",,"$29,220 ",,,
509,,,,,,,,"$21,159 ",,
510,"$35,720 ",,"$34,789 ",,"$41,324 ",,"$46,813 ","$26,426 ","$67,596 ",
511,"$36,423 ",,"$56,105 ",,"$42,946 ",,"$47,723 ","$36,828 ","$16,793 ","$25,028 "
512,"$27,956 ",,"$52,410 ",,,,"$44,964 ",,"$32,397 ","$22,109 "
513,"$30,481 ",,"$23,580 ",,"$29,709 ",,"$45,115 ","$18,852 ","$86,131 ","$22,247 "
514,"$22,646 ","$15,387 ","$18,565 ",,"$32,483 ","$13,720 ","$23,775 ","$14,391 ","$34,273 ",
515,"$58,824 ","$20,788 ","$108,219 ","$139,397 ","$88,724 ","$15,627 ","$62,385 ","$43,299 ","$42,185 ",
516,"$39,296 ","$31,592 ","$57,963 ","$36,026 ","$46,416 ","$41,097 ","$52,184 ","$33,579 ","$57,987 ","$20,329 "
517,"$31,389 ",,"$33,455 ",,"$23,343 ","$34,756 ","$41,225 ","$18,779 ","$33,833 ","$30,082 "
518,"$49,181 ",,"$43,275 ",,"$69,532 ",,"$60,611 ","$67,191 ","$49,910 ","$50,155 "
519,"$42,515 ",,"$51,432 ",,"$29,795 ","$76,559 ","$42,584 ","$24,950 ","$28,077 ","$23,947 "
520,"$29,933 ",,"$33,860 ",,"$25,737 ",,"$29,381 ","$18,622 ",,"$47,888 "
533,"$15,729 ","$9,156 ",,,,,,"$40,501 ","$140,219 ",
534,"$14,206 ",,"$25,980 ",,,"$16,672 ","$14,272 ","$11,534 ",,"$11,068 "
535,"$22,376 ","$18,971 ","$24,287 ",,"$30,163 ","$24,271 ","$21,822 ","$11,385 ","$21,250 ","$18,802 "
536,"$12,278 ","$8,918 ","$17,867 ",,"$16,313 ","$12,139 ","$16,143 ","$11,425 ","$16,514 ","$9,632 "
537,,,,,,,"$11,616 ","$43,082 ",,"$4,921 "
538,"$13,614 ",,,,,,,"$2,653 ",,
539,"$34,225 ",,"$40,196 ","$5,625 ","$70,265 ","$58,989 ","$25,263 ","$60,028 ","$16,434 ","$5,104 "
540,"$42,095 ","$8,236 ","$32,743 ",,"$11,232 ","$21,354 ","$20,674 ","$12,125 ","$7,523 ","$16,204 "
541,,,"$21,103 ",,"$10,838 ","$15,656 ","$12,524 ","$1,837 ","$51,134 ","$16,176 "
542,"$18,597 ","$33,630 ","$30,246 ","$38,637 ","$35,593 ","$29,096 ","$19,969 ","$54,710 ","$34,193 ","$19,830 "
543,"$18,920 ","$15,303 ","$24,427 ","$31,021 ","$17,684 ","$15,898 ","$24,013 ","$18,241 ","$22,460 ","$17,335 "
544,"$6,539 ","$4,063 ","$16,015 ",,"$16,447 ","$17,185 ","$7,358 ","$20,582 ","$29,603 ","$21,824 "
545,"$55,330 ",,"$32,848 ","$30,621 ","$53,809 ","$40,924 ","$38,428 ","$29,154 ",,"$32,120 "
546,"$17,599 ",,"$16,854 ",,"$16,221 ","$22,706 ","$12,826 ","$15,518 ","$33,411 ","$18,176 "
547,"$11,652 ",,"$29,623 ",,"$16,033 ",,"$10,347 ","$11,155 ",,"$9,827 "
548,,,,"$76,627 ",,"$1,812 ",,,"$27,591 ","$16,979 "
549,"$31,883 ","$25,807 ","$19,149 ",,"$21,535 ","$21,359 ","$9,672 ","$28,590 ","$14,285 ","$13,754 "
550,"$6,563 ",,,,,"$29,321 ",,,"$11,988 ",
551,"$35,349 ","$8,741 ","$26,246 ","$20,965 ","$42,382 ","$24,544 ","$23,720 ","$21,675 ","$24,150 ","$22,431 "
552,"$18,300 ","$16,466 ","$18,447 ","$12,245 ","$24,421 ","$21,142 ","$17,593 ","$18,252 ","$21,015 ","$14,835 "
553,"$34,542 ",,"$17,069 ","$3,408 ","$26,551 ",,"$17,340 ","$19,458 ",,"$19,381 "
554,"$12,536 ",,"$13,672 ","$22,201 ","$18,503 ","$14,362 ","$13,461 ","$11,941 ","$11,831 ","$11,089 "
555,"$28,511 ","$85,727 ","$31,770 ","$19,976 ","$26,918 ","$32,551 ","$23,124 ","$16,496 ","$13,019 ","$6,431 "
556,"$12,234 ","$17,645 ","$18,796 ","$4,760 ","$23,351 ","$21,881 ","$14,552 ","$14,563 ","$11,153 ","$10,924 "
557,"$39,823 ",,"$26,050 ","$103,479 ","$18,393 ","$27,864 ","$23,618 ","$33,088 ","$22,544 ","$25,068 "
558,"$21,493 ","$30,163 ","$12,324 ","$13,537 ","$20,092 ","$18,920 ","$10,332 ","$9,644 ","$13,495 ","$12,845 "
559,"$44,696 ",,"$49,411 ","$28,095 ","$37,146 ","$40,772 ","$22,319 ","$37,590 ","$36,638 ","$20,793 "
560,"$34,027 ",,"$37,024 ","$22,128 ","$18,665 ","$35,334 ","$19,237 ","$27,577 ","$28,995 ","$10,242 "
561,"$33,818 ","$9,066 ","$29,646 ",,"$12,154 ","$28,216 ","$5,455 ","$22,730 ","$20,186 ","$5,859 "
562,"$29,141 ",,"$33,065 ",,"$24,152 ","$32,792 ","$38,974 ","$25,555 ","$39,018 ","$31,925 "
563,"$14,728 ","$13,543 ","$16,600 ",,"$15,577 ","$21,151 ","$17,370 ","$14,456 ","$18,463 ","$15,259 "
564,"$37,500 ","$16,978 ","$39,200 ","$18,122 ","$51,070 ","$35,880 ","$24,818 ","$30,646 ",,"$39,975 "
565,"$18,951 ",,"$18,209 ",,"$25,732 ","$16,114 ","$14,533 ","$15,207 ","$14,311 ","$19,025 "
566,"$14,408 ",,"$10,965 ",,"$25,541 ",,"$14,248 ","$16,742 ","$8,536 ","$10,352 "
570,"$47,973 ","$18,969 ","$54,925 ",,"$47,688 ","$14,472 ","$32,671 ","$65,701 ","$45,859 ","$37,627 "
571,"$31,030 ","$42,510 ","$22,571 ","$52,410 ","$28,128 ","$23,556 ","$24,995 ","$21,976 ","$23,206 ","$16,217 "
572,"$23,269 ","$25,067 ","$19,193 ","$19,093 ","$30,581 ","$32,852 ","$24,802 ","$24,873 ","$15,139 ","$17,247 "
573,"$119,995 ",,"$51,081 ",,,,"$61,633 ",,,
574,"$60,721 ",,"$27,044 ",,"$40,956 ",,"$58,010 ",,,
575,"$32,916 ",,,,,,,,,
576,"$142,828 ",,"$41,982 ","$42,177 ",,,"$46,848 ",,,
577,,,"$34,285 ","$41,080 ",,,,"$15,255 ",,
578,,,"$26,309 ",,,,,,,
579,"$69,701 ","$21,885 ","$40,164 ","$39,442 ",,,"$33,849 ","$25,683 ","$36,423 ","$37,251 "
580,"$24,011 ","$27,425 ","$22,454 ","$54,196 ","$25,765 ","$17,299 ","$31,974 ","$24,719 ","$25,885 ","$20,206 "
581,"$16,226 ","$20,141 ","$30,733 ","$31,182 ","$17,282 ","$23,262 ","$36,419 ","$16,146 ","$14,217 ","$20,647 "
582,"$55,493 ",,"$31,919 ","$35,025 ",,,"$68,243 ",,"$21,276 ","$50,753 "
583,,,"$62,196 ","$18,195 ",,,"$42,149 ",,,"$13,578 "
584,"$28,540 ","$16,178 ","$54,575 ","$25,055 ",,,,"$41,714 ",,"$29,975 "
585,"$38,827 ","$21,936 ","$7,926 ","$23,531 ",,,"$40,182 ",,,
592,"$34,629 ",,"$18,258 ",,"$9,652 ","$23,252 ","$11,597 ","$9,242 ","$17,890 ","$16,135 "
593,"$20,204 ","$7,783 ","$13,647 ",,,"$20,444 ",,"$9,920 ","$8,794 ","$15,042 "
594,,,"$9,669 ",,,,"$35,079 ",,,
595,,,"$33,707 ",,,,"$26,459 ",,,
596,"$17,912 ",,"$23,475 ","$13,311 ","$18,876 ","$13,798 ","$10,402 ",,"$11,637 ","$9,664 "
597,"$43,197 ",,"$20,823 ","$32,341 ","$86,842 ","$31,576 ","$52,446 ","$13,045 ",,"$15,096 "
598,"$8,844 ",,"$34,117 ","$19,762 ","$81,313 ","$43,837 ","$14,874 ",,"$16,718 ","$11,346 "
599,"$15,391 ",,,,,"$7,655 ",,"$14,322 ",,
600,"$11,285 ",,"$10,719 ","$12,054 ","$22,606 ","$37,965 ","$13,135 ",,"$17,685 ","$17,639 "
601,"$13,853 ","$14,281 ","$7,378 ","$7,506 ","$14,887 ",,"$11,238 ",,"$9,125 ","$9,723 "
602,"$32,270 ","$15,569 ","$23,079 ","$10,307 ","$26,972 ","$23,570 ","$20,389 ","$24,263 ","$28,448 ","$17,101 "
603,"$15,315 ","$12,753 ","$12,560 ","$14,680 ","$16,508 ","$16,186 ","$12,391 ","$10,712 ","$12,272 ","$12,016 "
604,"$35,228 ",,"$34,231 ",,"$150,301 ","$40,149 ","$14,903 ","$21,908 ","$3,138 ","$26,487 "
605,"$15,175 ","$19,203 ","$16,143 ",,"$19,736 ","$28,618 ","$17,057 ","$16,194 ","$16,343 ","$14,220 "
606,"$14,943 ",,"$25,550 ","$12,933 ",,"$26,749 ","$21,736 ",,"$30,279 ","$15,309 "
607,"$10,224 ","$8,503 ","$11,379 ","$10,571 ","$15,112 ",,"$14,375 ","$12,891 ","$9,857 ","$13,387 "
614,,,"$53,370 ","$31,662 ",,"$104,306 ","$41,658 ",,,
615,"$62,922 ",,"$45,296 ","$27,037 ",,,,,,
616,"$60,959 ",,"$63,442 ",,"$88,464 ",,"$51,241 ","$29,734 ","$58,790 ","$27,470 "
617,"$34,454 ","$30,491 ","$44,070 ","$46,952 ","$30,552 ","$61,497 ","$51,601 ","$28,203 ","$40,171 ","$25,240 "
618,"$24,230 ",,,,,,,,,
619,"$109,099 ",,"$126,815 ",,,,"$37,342 ",,,"$63,370 "
620,,,"$40,127 ",,,,"$41,345 ",,,"$46,982 "
621,,,"$37,126 ",,,,"$38,337 ",,,"$34,721 "
622,"$81,563 ",,"$62,144 ",,"$23,824 ","$56,185 ","$40,492 ",,"$36,609 ","$38,316 "
623,"$35,346 ","$17,382 ","$43,290 ",,"$32,649 ","$47,097 ","$26,557 ","$25,032 ","$35,792 ","$18,915 "
624,"$16,627 ",,,,,,,,,
625,,,"$74,040 ","$68,236 ",,,"$84,617 ",,,"$61,602 "
626,,,"$46,279 ","$56,484 ",,,"$28,476 ",,,"$22,306 "
627,,,"$39,083 ","$30,804 ",,,"$32,868 ",,,
628,"$93,079 ",,"$91,404 ","$59,497 ","$83,869 ","$91,894 ","$34,442 ","$77,762 ","$64,071 ","$31,306 "
629,"$49,758 ","$31,131 ","$11,318 ","$18,251 ","$55,664 ","$50,425 ","$40,088 ","$27,302 ","$42,629 ",
630,"$23,976 ",,,"$21,578 ",,,,"$18,417 ",,"$24,812 "
637,"$30,771 ","$18,011 ","$26,746 ","$9,028 ","$29,488 ","$30,198 ","$18,848 ","$23,706 ","$31,719 ","$20,285 "
638,"$15,574 ","$14,797 ","$15,413 ","$9,112 ","$20,412 ","$18,293 ","$14,047 ","$14,287 ","$13,332 ","$14,204 "
